Sample details (paired-end):,,,
File_1,File_2,Conc.,Replicate
MiaPAca2-24hrs-NG-1_R1_001.fastq.gz,MiaPAca2-24hrs-NG-1_R2_001.fastq.gz,DMSO (NG),1
MiaPAca2-24hrs-NG-2_R1_001.fastq.gz,MiaPAca2-24hrs-NG-2_R2_001.fastq.gz,DMSO (NG),2
MiaPAca2-24hrs-NG-3_R1_001.fastq.gz,MiaPAca2-24hrs-NG-3_R2_001.fastq.gz,DMSO (NG),3
MiaPAca2-24hrs-500pM-1_R1_001.fastq.gz,MiaPAca2-24hrs-500pM-1_R2_001.fastq.gz,0.5nM (500pM),1
MiaPAca2-24hrs-500pM-2_R1_001.fastq.gz,MiaPAca2-24hrs-500pM-2_R2_001.fastq.gz,0.5nM (500pM),2
MiaPAca2-24hrs-500pM-3_R1_001.fastq.gz,MiaPAca2-24hrs-500pM-3_R2_001.fastq.gz,0.5nM (500pM),3
MiaPAca2-24hrs-1nM-1_R1_001.fastq.gz,MiaPAca2-24hrs-1nM-1_R2_001.fastq.gz,1nM,1
MiaPAca2-24hrs-1nM-2_R1_001.fastq.gz,MiaPAca2-24hrs-1nM-2_R2_001.fastq.gz,1nM,2
MiaPAca2-24hrs-1nM-3_R1_001.fastq.gz,MiaPAca2-24hrs-1nM-3_R2_001.fastq.gz,1nM,3
MiaPAca2-24hrs-5nM-1_R1_001.fastq.gz,MiaPAca2-24hrs-5nM-1_R2_001.fastq.gz,5nM,1
MiaPAca2-24hrs-5nM-2_R1_001.fastq.gz,MiaPAca2-24hrs-5nM-2_R2_001.fastq.gz,5nM,2
MiaPAca2-24hrs-5nM-3_R1_001.fastq.gz,MiaPAca2-24hrs-5nM-3_R2_001.fastq.gz,5nM,3
,,,
Genome files:,,,
File,Description,Format,LINK
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,Genomic sequence (DNA),FASTA,https://ftp.ensembl.org/pub/release-113/fasta/homo_sapiens/dna/
Homo_sapiens.GRCh38.113.gtf.gz,Gene IDs and genomic locations,GTF,https://ftp.ensembl.org/pub/release-113/gtf/homo_sapiens/
Homo_sapiens.GRCh38.113.entrez.tsv.gz,Gene annotations (symbols and descriptions),TSV,https://ftp.ensembl.org/pub/release-113/tsv/homo_sapiens/
